degradation_metric,probe,condition,r,p,n
TTR Drop (Turn 1 to 5),Reading Probe Confidence,all,0.13064458904327,4.515756804479971e-09,2000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,human,0.14044206495884531,8.283444004769188e-06,1000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,ai,0.08824931450590165,0.005227853137649587,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,all,0.14914729101786273,2.0358982712617993e-11,2000
TTR Drop (Turn 1 to 5),Control Probe Confidence,human,0.15246952801787428,1.2736236589831965e-06,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,ai,0.11615934465121672,0.00023218027595082715,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,all,0.13965064156157464,3.559365580168172e-10,2000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,human,0.17489901583084588,2.5940525960903786e-08,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,ai,0.06339261490742315,0.045053002262264205,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,all,0.13815858740079354,5.485269318968077e-10,2000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,human,0.14711637441943276,2.9849649455702133e-06,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,ai,0.08948270043341233,0.004628175332602998,1000
