Subject,bot,hum
s001,0.4,0.25
s002,0.25,0.35
s003,0.3,0.3
s004,0.3,0.35
s005,0.1,0.3
s006,0.25,0.4
s007,0.3,0.35
s008,0.65,0.4
s009,0.35,0.45
s010,0.15,0.2
s011,0.2,0.6
s012,0.3,0.45
s013,0.25,0.4
s014,0.4,0.5
s015,0.35,0.3
s016,0.2,0.15
s017,0.45,0.35
s018,0.3,0.35
s019,0.1,0.1
s020,0.35,0.35
s021,0.15,0.4
s022,0.4,0.35
s023,0.25,0.4
s024,0.25,0.4
s025,0.45,0.4
s026,0.15,0.45
s027,0.3,0.45
s028,0.35,0.3
s029,0.25,0.35
s030,0.35,0.45
s031,0.25,0.25
s032,0.2,0.15
s033,0.3,0.3
s034,0.45,0.35
s035,0.3,0.35
s036,0.2,0.5
s037,0.3,0.4
s038,0.5,0.4
s039,0.2,0.25
s040,0.15,0.4
s041,0.2,0.2
s042,0.4,0.5
s043,0.4,0.45
s044,0.3,0.15
s045,0.2,0.4
s046,0.3,0.35
s047,0.2,0.3
s048,0.25,0.3
s049,0.3,0.7
s050,0.65,0.35
