metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7459596702223663,0.7435296650830093,0.0024300051393569833,0.6676541625637004,0.5044314832283456
Type-Token Ratio (TTR),sub_ttr,5,0.5944656578228219,0.6013798192114825,-0.0069141613886606335,-1.6348327512176934,0.10224163954273639
Trigram Repetition Rate,sub_trigram_rep,1,0.006903561991028517,0.00718026759779875,-0.00027670560677023337,-0.4965862156090203,0.6195355047502622
Trigram Repetition Rate,sub_trigram_rep,5,0.05826572259113998,0.05616905101685764,0.0020966715742823452,0.7081263198766479,0.4789494154383256
Word Count,sub_word_count,1,110.515,114.917,-4.402000000000001,-2.1252768936254087,0.03368590727948751
Word Count,sub_word_count,5,203.404,195.424,7.97999999999999,2.4291346024156812,0.015222562860202467
Self-Reference Rate,sub_self_ref_rate,1,0.044178506329323554,0.04105692049364808,0.0031215858356754764,2.754966790445683,0.005923042912823664
Self-Reference Rate,sub_self_ref_rate,5,0.036240354370697066,0.035358626293999426,0.0008817280766976396,0.9178661410413208,0.35879973295189527
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0011746326690121546,0.0009085436694513835,0.0002660889995607711,1.3835592240092796,0.16664801600434284
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.05236583875079008,0.07924794476791044,-0.026882106017120364,-2.9407852459485797,0.0033114449299248335
Exclamation Rate,sub_exclamation_rate,1,0.016472404673177638,0.017407640543564824,-0.0009352358703871855,-1.5402136021310904,0.12366664568151546
Exclamation Rate,sub_exclamation_rate,5,0.023814071613776477,0.023537330806465643,0.0002767408073108338,0.30275288053380495,0.7621097106563849
Emoji Count,sub_emoji_count,1,0.314,0.247,0.067,1.8189661083703887,0.06906622918689691
Emoji Count,sub_emoji_count,5,1.707,1.986,-0.2789999999999999,-1.7562741080791655,0.07919480659881119
