metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7264752258607027,0.7272409868204709,-0.0007657609597682136,-0.20851992878922526,0.8348442779892293
Type-Token Ratio (TTR),sub_ttr,5,0.5671071091440649,0.5810743582089769,-0.01396724906491198,-3.2749475698117436,0.0010748807717987428
Trigram Repetition Rate,sub_trigram_rep,1,0.009062911615831979,0.008665708094305473,0.0003972035215265065,0.6628331204853405,0.5075138949014772
Trigram Repetition Rate,sub_trigram_rep,5,0.07267572894995125,0.06459186987908344,0.00808385907086781,2.2803459168699236,0.022692089222566613
Word Count,sub_word_count,1,123.606,122.568,1.0379999999999967,0.4705519122983887,0.6380121168105
Word Count,sub_word_count,5,222.74,210.937,11.802999999999997,3.573723679100636,0.00036028481313709487
Self-Reference Rate,sub_self_ref_rate,1,0.04554434981044391,0.041928663059629404,0.0036156867508145077,3.147438370001667,0.0016713770960048865
Self-Reference Rate,sub_self_ref_rate,5,0.035710422222820726,0.03514128619489381,0.0005691360279269156,0.5878865198051365,0.5566749025342592
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0008858846116448713,0.0023962112863609897,-0.0015103266747161182,-6.705473619554444,2.604305244382441e-11
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.08277223525236463,0.07722494539080293,0.005547289861561694,0.5425518547530104,0.5874989053526541
Exclamation Rate,sub_exclamation_rate,1,0.018965220832435306,0.017474852163036934,0.0014903686693983724,2.4014100413316988,0.016422870908093398
Exclamation Rate,sub_exclamation_rate,5,0.022041334039126014,0.02293700133526083,-0.0008956672961348174,-0.987323176577047,0.3236037790833092
Emoji Count,sub_emoji_count,1,0.255,0.171,0.08399999999999999,3.095291941472227,0.00199346459897727
Emoji Count,sub_emoji_count,5,1.69,1.879,-0.18900000000000006,-1.191310933233821,0.23367304024334293
