degradation_metric,probe,condition,r,p,n
TTR Drop (Turn 1 to 5),Reading Probe Confidence,all,0.0721533909762773,0.0012422840934836043,2000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,human,-0.03857876753882647,0.22288379256573193,1000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,ai,0.11458894476558952,0.0002822650763144533,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,all,0.08232592855441528,0.0002280898080932833,2000
TTR Drop (Turn 1 to 5),Control Probe Confidence,human,-0.027363724285493086,0.38737009872976547,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,ai,0.14336026515450087,5.331341559345272e-06,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,all,0.07212128008598367,0.0012485572724431108,2000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,human,-0.014496545439456006,0.6470446049122914,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,ai,0.1391811049123433,9.993941249111304e-06,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,all,0.07011614356064819,0.001703424367058391,2000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,human,-0.021517288953561715,0.496717188900355,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,ai,0.13736960493828443,1.305050738935505e-05,1000
